Original Location,New Location,Site,Name,Side,Street,Direction,Cross Street 1,Cross Street 2,Approval Agency,Map Link,Streetview Link,Site Photo?,Comments,Take forward to Crowdsourcing?
333,1,B,"N Grand Ave & 
W Temple St",E,N Grand Avenue,N,W Temple Street,W Cesar Chavez Avenue,LABOE,https://www.google.com/maps/d/edit?mid=zOHpquqdH9vM.kCKhYqM3Z834,"https://www.google.com/maps/@34.058262,-118.2463422,3a,75y,93.21h,81.22t/data=!3m6!1e1!3m4!1snd3r-JQj1xXZ8BuXm4z0VQ!2e0!7i13312!8i6656",Yes,Along wall,Yes
,2,A,N Figueroa St & Diamond St,W,N Figueroa Street,N,Diamond Street,W Temple Street,LABOE,https://www.google.com/maps/d/edit?mid=zOHpquqdH9vM.kfGpZu4iuxmw,"https://www.google.com/maps/@34.0585622,-118.2511063,3a,75y,306.88h,64.21t/data=!3m6!1e1!3m4!1sANHdsPG51ic_Nf7BlXCUAA!2e0!7i13312!8i6656",Yes,,Yes
335,3,C,Union Station West Portal,E,N Alameda Street,N,N Los Angeles Street,E Cesar Chavez Avenue,LA Metro,"https://www.google.com/maps/@34.0569359,-118.2366928,3a,75y,330.12h,86.22t/data=!3m6!1e1!3m4!1sVRuFb3IoSjpeL99Iogx7Ow!2e0!7i13312!8i6656","https://www.google.com/maps/@34.0569359,-118.2366928,3a,75y,330.12h,86.22t/data=!3m6!1e1!3m4!1sVRuFb3IoSjpeL99Iogx7Ow!2e0!7i13312!8i6656",Yes,"Metro property - requires license agreement

Metro to provide concrete pad in rose garden area + 2 additional adjacent parking spaces",Yes
336,4,A,N Los Angeles St & N Alameda Street,W,N Los Angeles Street,S,N Alameda Street,Arcadia Street,LADOT,"https://www.google.com/maps/@34.0559482,-118.2386053,3a,75y,261.77h,72.98t/data=!3m6!1e1!3m4!1sTUHDYMtE6MDIFjHENcY9jA!2e0!7i13312!8i6656","https://www.google.com/maps/@34.0559482,-118.2386053,3a,75y,261.77h,72.98t/data=!3m6!1e1!3m4!1sTUHDYMtE6MDIFjHENcY9jA!2e0!7i13312!8i6656",,,Yes
337,5,A,E Temple St & N Alameda St,S,E Temple Street,W,N Alameda Street,Judge John Aiso Street,LADOT,https://www.google.com/maps/d/edit?mid=zOHpquqdH9vM.kOrV9qbuUIVo,"https://www.google.com/maps/@34.0513792,-118.238389,3a,37.5y,194.94h,81.27t/data=!3m6!1e1!3m4!1snMxl59wAMFfQItBCxhyRfw!2e0!7i13312!8i6656",,Heavy shade cover from trees - limited alternatives nearby. Space may be tight; measure carefully.,Yes - Heavy shade cover - look for another site in the field
338,6,B,N Main St & W Temple St,W,N Main Street,S,W Temple Street,W 1st Street,LABOE,https://www.google.com/maps/d/edit?mid=zOHpquqdH9vM.kPRkIfAtataI,"https://www.google.com/maps/@34.0539249,-118.2418017,3a,75y,307.46h,75.43t/data=!3m7!1e1!3m5!1sn7kxRwaNl8FDI-mle2qG-w!2e0!6s%2F%2Fgeo1.ggpht.com%2Fcbk%3Fpanoid%3Dn7kxRwaNl8FDI-mle2qG-w%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D100%26h%3D80%26yaw%3D48.106102%26pitch%3D0!7i13312!8i6656",,Site is only about 40' long,Yes
339,7,A,S Spring St & W 1st St,W,S Spring Street,S,W 1st Street,W 2nd Street,LADOT,https://www.google.com/maps/d/edit?mid=zOHpquqdH9vM.k9f9nGsJGhr4,"https://www.google.com/maps/@34.0525353,-118.244836,3a,75y,282.89h,70.19t/data=!3m6!1e1!3m4!1s9KuzzLDwnXhMwODJKSD7tA!2e0!7i13312!8i6656",,Proximity to site 35?,Yes
339,7,B,W 1st St & S Main St,S,W 1st Street,W,S Main Street,S Spring Street,LABOE,https://www.google.com/maps/d/edit?mid=zOHpquqdH9vM.k9f9nGsJGhr4,"https://www.google.com/maps/@34.0525376,-118.2438491,3a,37.5y,189.97h,83.68t/data=!3m6!1e1!3m4!1sRH9FI-KFIKOIJTGEO9fygQ!2e0!7i13312!8i6656",,Proximity to site 35? In front of LAPD building,Yes - preferred site (curbside); may have to relocate bike racks
340,8,A,S Grand Ave & W 1st St,W,S Grand Avenue,S,W 1st Street,W 2nd Street,LABOE,https://www.google.com/maps/d/edit?mid=zOHpquqdH9vM.kgXLLTWn6gqk,"https://www.google.com/maps/@34.0553815,-118.2489832,3a,49y,309.87h,86.3t/data=!3m7!1e1!3m5!1sDIEJwIUjn09F0m6_Z3hNjw!2e0!6s%2F%2Fgeo2.ggpht.com%2Fcbk%3Fpanoid%3DDIEJwIUjn09F0m6_Z3hNjw%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D100%26h%3D80%26yaw%3D87.0711%26pitch%3D0!7i13312!8i6656",Yes,Will need significant outreach,Yes - site will need significant outreach
341,9,B,W Temple St & N Hill St,N,W Temple Street,W,N Hill Street,N Grand Avenue,LABOE,https://www.google.com/maps/d/edit?mid=zOHpquqdH9vM.kNwvpIhKm51o,"https://www.google.com/maps/@34.0571687,-118.2452862,3a,37.5y,33.61h,82.37t/data=!3m6!1e1!3m4!1s0M1WNcvDB6nDQy3EE-CX6Q!2e0!7i13312!8i6656",,Proximity to Site 1,Yes - could be sidewalk on on-street in place of parking
